0.0 "[179.6199746  376.00704841  99.00828428 170.40832256]" "[ 5.55909194  2.5862885  10.00462079  5.61170661]" "[ 48.14274634  98.64939461 220.58322814 273.13509651]" "[-0.05435974 -0.23522436 -0.1376564  -0.29678544]" 22.5
4.999 "[179.66370478 376.0186661   99.00601583 170.39257426]" "[ 5.55783655  2.58605007 10.0048185   5.61195616]" "[ 47.82716565  98.75047677 220.62435163 273.30043754]" "[-0.05401647 -0.23547752 -0.13767902 -0.29694228]" 22.5
9.997 "[179.69803387 376.14232278  98.99145499 170.41685671]" "[ 5.55671193  2.58550687 10.0060997   5.61145555]" "[ 48.00347004  98.51432275 220.87589318 273.10614054]" "[-0.05422613 -0.23498267 -0.13781663 -0.29676833]" 22.5
14.995 "[179.68721073 375.88216671  98.98348426 170.39600224]" "[ 5.5571011   2.58686045 10.00702323  5.61227205]" "[ 47.84521543  98.87166537 220.75782675 273.07167142]" "[-0.05404388 -0.23568477 -0.13773131 -0.2966923 ]" 22.5
19.993 "[179.6642713  376.04008537  99.00605888 170.38925618]" "[ 5.55780339  2.58605118 10.00469687  5.61221517]" "[ 47.87277213  98.64646303 220.75882083 273.22770877]" "[-0.0540682  -0.23523851 -0.13776354 -0.29685489]" 22.5
24.992 "[179.67448873 375.96110765  98.99408677 170.37122557]" "[ 5.55748248  2.58652791 10.00576866  5.61296525]" "[ 47.88474235  98.71080291 220.94422055 273.17572784]" "[-0.05408482 -0.23534451 -0.13786321 -0.29676433]" 22.5
29.99 "[179.6775252  376.00359003  99.00673318 170.40572089]" "[ 5.55731167  2.58626039 10.00448787  5.61190024]" "[ 48.10941686  98.68360475 220.91895772 273.08342484]" "[-0.05433973 -0.2353056  -0.13786505 -0.29672289]" 22.5
34.989 "[179.6788357  376.10296564  98.99604714 170.39005957]" "[ 5.55735149  2.58557625 10.00563588  5.61247875]" "[ 47.87261044  98.65785037 220.86468988 273.07562341]" "[-0.05407241 -0.23530634 -0.13781598 -0.29668606]" 22.5
39.987 "[179.69127668 375.98560816  98.98921455 170.35691472]" "[ 5.55695939  2.58636026 10.00630468  5.61327298]" "[ 47.89043037  98.70416216 220.90520211 273.28369926]" "[-0.0540963  -0.23534394 -0.13783187 -0.2968595 ]" 22.5
44.988 "[179.66519862 376.07812199  99.00060911 170.39418873]" "[ 5.55770894  2.58580627 10.00506941  5.61193074]" "[ 48.06590624  98.62512807 220.97544053 273.28338226]" "[-0.05428678 -0.23521086 -0.13789194 -0.29692607]" 22.5
49.986 "[179.69437704 376.00600754  98.99293142 170.38992236]" "[ 5.55684821  2.5860903  10.00612881  5.61201187]" "[ 47.93497206  98.78479834 220.66702261 273.32145329]" "[-0.05414759 -0.23555288 -0.13768752 -0.296961  ]" 22.5
54.986 "[179.65650211 376.15866234  98.99794325 170.40446235]" "[ 5.55801629  2.58525256 10.00549301  5.61212246]" "[ 47.95573039  98.60413938 220.80438933 272.99100784]" "[-0.05415964 -0.23521119 -0.1377808  -0.29661717]" 22.5
59.985 "[179.657325   375.98074388  98.99326239 170.39259875]" "[ 5.55806178  2.58654172 10.00588441  5.61236889]" "[ 47.74842486  98.60723304 220.90905076 273.08509743]" "[-0.0539255  -0.23510536 -0.13783996 -0.29670123]" 22.5
